Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 1.416698e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 4699.218420, 11890.591970, 10079.945797, 3285.490006, 2.1%
47, 6012.701977, 14031.468443, 11467.987568, 3603.448574, 1.7%
72, 6380.868546, 12890.626887, 13782.311140, 3704.424747, 1.2%
112, 6888.985270, 20209.061417, 15053.507530, 3819.990011, 0.8%
174, 7185.579055, 28027.839979, 15858.178982, 3845.129034, 0.5%
270, 7431.675866, 29508.080222, 16453.284969, 3879.380809, 0.4%
420, 7601.112402, 34039.804011, 16940.865385, 3921.673400, 0.2%
652, 7529.141177, 35049.687867, 16905.831288, 3847.177088, 0.2%
1012, 7558.837145, 38200.600404, 16932.251319, 3827.065943, 0.1%
1571, 7890.751714, 40078.904142, 17643.808519, 3972.649504, 0.1%
2438, 7918.603488, 28244.626226, 17451.472669, 3982.939861, 0.0%
3785, 7784.441809, 27526.899629, 17204.701958, 3913.317518, 0.0%
5876, 7959.542600, 28849.287738, 17478.467436, 3955.625399, 0.0%
9121, 7947.121124, 29195.818800, 17430.442440, 3952.873049, 0.0%
14159, 7939.851716, 29366.511342, 17583.544988, 3984.078030, 0.0%
21980, 7835.799618, 29043.943000, 17189.249849, 3923.642208, 0.0%
34121, 7879.978761, 21444.133882, 17235.192259, 3933.793284, 0.0%
52969, 7922.397744, 22337.953113, 17289.894341, 3953.038321, 0.0%
82227, 7851.941029, 22239.178557, 12655.859452, 3661.122170, 0.0%
127647, 7028.576690, 20762.694815, 12184.812762, 3549.871198, 0.0%
198155, 6636.985269, 13699.155865, 11811.910052, 3570.561916, 0.0%
307609, 6864.710535, 13273.367597, 12092.923112, 3593.912833, 0.0%
477521, 7089.129373, 13294.105154, 12509.525529, 3685.536325, 0.0%
741288, 7104.323553, 13350.988345, 12643.288321, 3685.412000, 0.0%
1150750, 6985.523731, 13269.999276, 12204.617269, 3584.093224, 0.0%
1786385, 7039.437540, 13326.780308, 12238.860654, 3622.365664, 0.0%
2773124, 7168.122053, 13470.863266, 12208.624935, 3678.501693, 0.0%
4304903, 7121.031350, 13461.965633, 12250.388884, 3663.272821, 0.0%
6682786, 7190.846467, 13490.385994, 12325.406137, 3677.654459, 0.0%
10374130, 6962.587451, 13325.463857, 12161.031962, 3567.971213, 0.0%
16104448, 7084.514474, 13388.765891, 12316.509727, 3627.306271, 0.0%
25000000, 7061.135208, 13386.038377, 12416.759895, 3633.876134, 0.0%
