Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30,4393.162231,11104.6881,9336.596419,3051.421911,1.90%
47,5350.378441,12565.39118,10220.65398,3209.223289,1.50%
73,5853.695055,11687.71559,11702.86902,3316.590107,1.10%
114,6116.984412,18242.91233,13398.08149,3388.55338,0.70%
178,6427.522021,22800.19441,14194.47704,3438.065904,0.50%
279,6698.122428,25768.72093,14527.06717,3472.020319,0.30%
435,6824.597812,31305.48923,14986.95631,3493.9909,0.20%
679,6911.333146,33345.25901,15297.0655,3507.619116,0.10%
1060,6948.028771,33650.79479,15578.51236,3515.477478,0.10%
1656,6985.001187,35089.74094,15680.55274,3520.668913,0.10%
2586,7012.81148,24271.79651,15462.08087,3521.383827,0.00%
4038,7029.597848,25202.06851,15531.84052,3525.104143,0.00%
6305,7044.938436,25549.57693,15502.22589,3527.599249,0.00%
9846,7050.075265,26072.88131,15498.96218,3529.112917,0.00%
15374,7051.78082,26124.29129,15519.55808,3528.904854,0.00%
24008,7050.994641,26121.05296,15482.61471,3527.958451,0.00%
37488,7051.782966,20421.04818,15437.97559,3523.761178,0.00%
58539,7042.233872,20459.72158,14530.19158,3463.650355,0.00%
91410,6996.433371,20445.17519,11782.12811,3306.784882,0.00%
142738,6248.110944,15491.29423,11778.74414,3309.431658,0.00%
222889,6290.558991,13109.06205,11746.50454,3311.366333,0.00%
348047,6464.796754,12858.42716,11715.18304,3313.983805,0.00%
543483,6477.457041,12841.93352,11772.74996,3316.270979,0.00%
848661,6489.448093,12842.14791,11843.17557,3319.445295,0.00%
1325203,6485.506785,12838.69628,11761.03164,3314.821514,0.00%
2069336,6480.942411,12851.09811,11653.18953,3309.260037,0.00%
3231315,6477.659875,12842.6458,11513.15796,3300.587295,0.00%
5045773,6487.756168,12849.37284,11543.48494,3313.220334,0.00%
7879091,6483.470428,12836.38542,11605.7627,3304.53413,0.00%
12303381,6488.676065,12838.86536,11641.5715,3308.75048,0.00%
19212013,6481.651785,12834.44793,11610.01186,3306.78088,0.00%
30000000,6470.497548,12835.64937,11548.34264,3302.602269,0.00%
