Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 1.410320e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 14519.394241, 17362.522646, 29546.451974, 12565.322832, 6.3%
46, 20232.186538, 25307.839543, 40006.132165, 18170.457525, 5.8%
71, 28242.324490, 30572.149439, 50960.293848, 27460.151716, 5.2%
110, 39833.096158, 43985.042857, 75398.950829, 29352.011913, 4.7%
169, 50031.063366, 46600.911705, 87625.575165, 36622.577421, 3.9%
261, 54179.435755, 60012.462135, 85736.820052, 36406.062768, 2.7%
402, 66722.632816, 64304.502699, 103400.221001, 41097.156344, 2.2%
620, 83902.737318, 73905.952018, 133465.153777, 42806.501561, 1.8%
955, 96620.117779, 80857.342541, 151377.105493, 49190.009221, 1.3%
1472, 103362.592289, 83294.071677, 157234.182791, 53304.611390, 0.9%
2269, 110273.172208, 44004.435107, 113159.739765, 54572.332264, 0.6%
3497, 115142.611458, 34241.516075, 80155.905134, 55287.463921, 0.4%
5389, 35674.761832, 35262.415653, 83066.000015, 57763.107346, 0.1%
8306, 35450.845130, 35710.357510, 83912.139186, 59281.502057, 0.1%
12802, 35436.686862, 35670.855092, 83824.434226, 59478.013279, 0.0%
19731, 35311.833944, 35680.935197, 83789.863258, 59752.366364, 0.0%
30410, 33596.760395, 34118.631386, 80222.019782, 56852.238855, 0.0%
46868, 36019.997744, 35953.556652, 84377.895206, 60335.624518, 0.0%
72235, 35845.450927, 22787.717139, 43217.700997, 17942.244229, 0.0%
111330, 30661.062902, 22405.092021, 35923.183902, 13685.161654, 0.0%
171586, 18358.156583, 18347.035352, 35276.212393, 13076.216818, 0.0%
264454, 17088.508563, 17469.340200, 34252.171155, 12836.321561, 0.0%
407585, 16979.380174, 17418.455811, 33770.778255, 12780.249630, 0.0%
628182, 16709.491236, 17374.702126, 33719.686137, 12824.977922, 0.0%
968175, 17265.315437, 17418.263620, 34985.837338, 12857.957080, 0.0%
1492182, 16059.369368, 17417.264565, 32388.426954, 12827.773448, 0.0%
2299799, 17320.233826, 17434.086646, 34616.090106, 12773.802270, 0.0%
3544524, 14419.728846, 17428.504672, 28930.569244, 12780.144920, 0.0%
5462934, 12962.885468, 17367.718228, 26139.489155, 12801.006647, 0.0%
8419648, 17064.278638, 17184.255873, 34361.228282, 12692.509512, 0.0%
12976631, 8603.008386, 17268.439669, 17442.637696, 12794.408503, 0.0%
20000000, 8635.734516, 17377.223255, 17417.279685, 12789.050288, 0.0%
