Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30,15076.32499,18053.85978,30906.00129,13095.05445,6.60%
47,17845.85505,26331.5801,32417.78294,19488.76166,5.00%
73,29924.64285,32466.36848,54363.37106,23197.67158,5.40%
114,36117.31918,45700.79007,61812.05105,31316.48663,4.20%
178,48447.62984,51785.3116,85184.33885,41119.4245,3.60%
279,60122.11714,59952.00819,103393.6844,39016.32316,2.80%
435,73345.94715,71328.83551,114061.8083,44778.14129,2.20%
679,90559.47399,80118.81023,144701.2393,46433.42544,1.70%
1060,97900.40832,79957.29085,150806.9369,51074.56497,1.20%
1656,109010.6951,66252.65334,163545.0942,54977.686,0.90%
2586,114663.1208,35637.41072,89477.22895,56897.35007,0.60%
4038,119417.9424,34996.98606,82780.89141,57565.11103,0.40%
6305,35355.22437,35523.42247,83304.1754,58488.79063,0.10%
9846,35690.26359,35714.49021,84088.76572,59724.16582,0.00%
15374,35436.22662,35793.96904,84307.55835,59648.55565,0.00%
24008,35322.30819,35900.19821,84432.10233,60073.95713,0.00%
37488,35981.74332,35955.22864,84592.11752,60231.84392,0.00%
58539,35828.34256,24737.90178,60757.13892,30640.1173,0.00%
91410,35446.20978,23479.55979,37724.09292,14512.03045,0.00%
142738,22159.83159,20235.74442,35858.4413,13378.82375,0.00%
222889,17643.34403,18218.83898,35368.76334,13088.50196,0.00%
348047,17438.23319,17792.17854,35354.06848,13054.44029,0.00%
543483,17176.52069,17709.30278,34143.76344,12884.22877,0.00%
848661,16982.16663,17734.60235,33759.5537,12884.06601,0.00%
1325203,17554.79988,17680.34222,34829.10835,12947.07033,0.00%
2069336,17483.75813,17706.67857,34799.37236,12972.67719,0.00%
3231315,15715.29774,17768.26712,31289.79077,12922.9988,0.00%
5045773,14569.38395,17767.62359,28677.94044,12841.36212,0.00%
7879091,13100.15665,17772.13825,25901.08037,12891.50194,0.00%
12303381,17474.37463,17779.8349,34532.61176,12941.04067,0.00%
19212013,8732.041736,17793.79032,17318.09854,12866.99193,0.00%
30000000,8762.057034,17817.95605,17392.93009,12871.03108,0.00%
