Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 2.370904e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 77295.408849, 57547.419106, 133631.326585, 41818.965087, 33.8%
47, 102780.554349, 64531.087523, 152891.489710, 49395.909215, 28.7%
73, 122098.230078, 88187.996850, 191770.788989, 59567.375403, 21.9%
114, 161115.049621, 123121.271697, 265656.125666, 97741.768082, 18.5%
178, 160253.795315, 135545.314278, 264918.151268, 105910.089643, 11.8%
279, 161502.642579, 140563.223886, 270528.263152, 100337.473855, 7.6%
435, 163968.240930, 153822.935004, 264492.626787, 121798.113274, 4.9%
679, 155455.984019, 159249.765099, 272407.526678, 117894.097429, 3.0%
1060, 158076.936465, 161294.840662, 261730.649768, 125438.363842, 2.0%
1656, 146503.388144, 146327.267067, 257497.579383, 114446.931323, 1.2%
2586, 164039.065977, 42630.402030, 124477.924094, 69107.650859, 0.8%
4038, 165111.941802, 42350.266111, 119531.378939, 65172.257687, 0.5%
6305, 57040.178348, 43912.232571, 122908.027838, 65318.935610, 0.1%
9846, 54859.692779, 41602.239019, 121768.331929, 58279.266275, 0.1%
15374, 57010.898273, 41988.299227, 109503.958215, 46073.877597, 0.0%
24008, 50353.962691, 36008.202310, 73626.440603, 34069.583347, 0.0%
37488, 40326.583453, 29864.082174, 69826.804986, 32291.270841, 0.0%
58539, 37869.182098, 28445.628205, 70955.593970, 33397.102803, 0.0%
91410, 36971.831533, 28098.559513, 70835.370501, 33257.320174, 0.0%
142738, 37270.688876, 28361.162461, 71343.638554, 33628.701555, 0.0%
222889, 37047.802473, 28134.348409, 68848.304279, 33245.707722, 0.0%
348047, 37189.685502, 27570.014398, 70922.353535, 33219.510886, 0.0%
543483, 34556.487484, 28093.033041, 68768.011704, 33168.805596, 0.0%
848661, 35258.254763, 27163.345498, 67898.973685, 33046.827869, 0.0%
1325203, 35894.249538, 24532.493597, 64443.676866, 29473.618773, 0.0%
2069336, 31394.888158, 11889.181032, 35047.616060, 15893.044174, 0.0%
3231315, 13549.578803, 15163.030110, 19774.167388, 8873.499744, 0.0%
5045773, 10045.665476, 12545.919227, 17808.552732, 8326.652729, 0.0%
7879091, 8654.229590, 11800.240285, 16178.663423, 8581.412933, 0.0%
12303381, 11241.976017, 11422.118269, 20956.415180, 8357.194357, 0.0%
19212013, 5619.171458, 11366.485921, 10546.071433, 8436.609585, 0.0%
30000000, 5617.037508, 11831.425637, 10749.000641, 8533.761041, 0.0%
