Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 2.207228e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 64259.532901, 56646.730304, 130586.097470, 39353.073454, 28.1%
45, 96836.342622, 77655.187440, 175070.578048, 51386.122123, 28.2%
69, 133044.819389, 102692.157243, 218458.299446, 78236.115059, 25.3%
104, 167131.236098, 124663.162117, 252873.005245, 80101.535407, 21.1%
157, 170513.015736, 125804.038877, 268908.159682, 85642.036178, 14.2%
237, 173479.124011, 143332.337100, 272527.192332, 97581.786315, 9.6%
358, 184899.314842, 156611.541183, 301587.824123, 118711.241385, 6.8%
541, 183309.964324, 164419.314167, 299540.750322, 121368.976463, 4.4%
817, 172676.934408, 166475.137884, 303733.561201, 129542.237612, 2.8%
1236, 177015.220952, 171016.530369, 294826.182774, 142373.465579, 1.9%
1868, 181391.388233, 151128.257822, 298629.813498, 140573.194593, 1.3%
2823, 185117.690204, 46659.272044, 139380.724784, 75066.478136, 0.9%
4267, 117428.839793, 46970.618489, 136295.754720, 72340.475249, 0.4%
6450, 61995.946969, 47081.380840, 136028.820012, 71784.894102, 0.1%
9750, 61997.875147, 47256.026826, 136642.077724, 71580.054953, 0.1%
14737, 61847.191189, 46582.120590, 132039.611611, 58984.617434, 0.1%
22275, 61803.621273, 43144.883384, 91592.515260, 39751.412399, 0.0%
33670, 51538.160930, 35826.280446, 80073.320099, 37669.200562, 0.0%
50893, 41534.105816, 31180.910429, 79406.904152, 37393.670046, 0.0%
76927, 41582.665567, 31150.757652, 79827.056759, 37446.466827, 0.0%
116278, 41305.518748, 31179.456631, 79413.149066, 37470.952680, 0.0%
175758, 41574.166338, 31216.115423, 79688.311162, 37457.153500, 0.0%
265665, 41557.673862, 31205.447198, 79760.450702, 37467.379995, 0.0%
401562, 41517.757599, 31217.769664, 79793.153689, 37523.083024, 0.0%
606976, 40534.784796, 31226.718297, 78075.439807, 37462.625865, 0.0%
917466, 40090.074853, 31245.341067, 76825.387145, 37505.234577, 0.0%
1386784, 41094.869840, 29925.671852, 75658.959887, 35356.530693, 0.0%
2096175, 33901.795118, 28086.143851, 30932.863929, 14196.471684, 0.0%
3168446, 20914.436286, 24260.232536, 25423.609619, 11521.869610, 0.0%
4789222, 13174.489549, 17017.472652, 23645.693332, 11451.579293, 0.0%
7239086, 11619.148489, 16232.317961, 21268.710072, 11444.154843, 0.0%
10942146, 15414.021799, 16235.377397, 28321.894767, 11446.691559, 0.0%
16539457, 7688.667841, 16115.216969, 14229.648224, 11455.410738, 0.0%
25000000, 7668.252567, 16237.630766, 14227.513208, 11451.658189, 0.0%
