Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 1.445503e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 4957.438589, 12487.618570, 10497.016523, 3428.675632, 2.2%
46, 5688.132531, 13852.413486, 12163.215866, 3564.954231, 1.6%
71, 6549.534191, 12783.754698, 13046.070880, 3707.014315, 1.2%
110, 6779.255841, 23276.667383, 14856.876881, 3772.207484, 0.8%
169, 7271.148171, 24323.155539, 15497.403851, 3852.707633, 0.6%
261, 7226.619114, 26062.448386, 15635.193153, 3778.994370, 0.4%
402, 7611.542925, 32152.587999, 16983.026721, 3926.226670, 0.2%
620, 7684.754460, 36804.222387, 17252.321308, 3930.257101, 0.2%
955, 7689.545854, 39898.570203, 17119.504429, 3897.922069, 0.1%
1472, 7552.489869, 39625.001084, 16989.914396, 3815.334298, 0.1%
2269, 7643.316252, 30351.495564, 17028.489710, 3856.697552, 0.0%
3497, 7747.869838, 27542.891628, 17193.640583, 3886.031191, 0.0%
5389, 7863.846603, 28194.704043, 17322.265791, 3930.962332, 0.0%
8306, 7932.889390, 29234.706759, 17489.718494, 3980.094940, 0.0%
12802, 7952.274893, 29235.400751, 17449.884380, 3968.082018, 0.0%
19731, 7921.766977, 29147.415792, 17454.899484, 3961.946191, 0.0%
30410, 7949.839691, 29386.363828, 17495.528007, 3973.074252, 0.0%
46868, 7917.339713, 21385.589128, 16565.555116, 3910.836526, 0.0%
72235, 7894.910435, 21341.579978, 13228.693063, 3714.361625, 0.0%
111330, 7431.295483, 20976.550012, 12413.569636, 3622.432417, 0.0%
171586, 6567.973970, 13784.587772, 12470.187536, 3596.475409, 0.0%
264454, 6994.157792, 13043.340380, 12746.266494, 3700.379225, 0.0%
407585, 7052.454277, 12971.402825, 12765.620709, 3694.485074, 0.0%
628182, 7059.992560, 12953.376649, 12725.217331, 3690.188257, 0.0%
968175, 7067.264080, 12974.129365, 12778.862293, 3700.914348, 0.0%
1492182, 7005.094712, 12998.041054, 12517.373745, 3668.736061, 0.0%
2299799, 7042.693779, 12977.018959, 12481.497365, 3681.396910, 0.0%
3544524, 7046.493117, 12984.447197, 12603.376481, 3682.139715, 0.0%
5462934, 6909.196537, 12902.314164, 12387.524196, 3613.346727, 0.0%
8419648, 6996.301889, 12993.656915, 12558.509746, 3660.719501, 0.0%
12976631, 7061.987116, 13037.227153, 12518.997074, 3690.862367, 0.0%
20000000, 7081.374967, 13033.479259, 12478.919050, 3693.775085, 0.0%
