Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 2.365983e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 72305.643722, 57131.408669, 133929.186303, 40198.457777, 31.6%
46, 103328.793272, 68951.680184, 172690.204029, 53264.188716, 29.4%
71, 142946.319512, 88114.604754, 203147.963391, 65157.665846, 26.4%
110, 161261.974492, 117976.284983, 240582.272974, 77543.653261, 19.2%
169, 156045.047836, 123028.348378, 247574.378528, 83500.913079, 12.1%
261, 160897.998323, 134891.207755, 270020.390411, 108823.951233, 8.1%
402, 167728.652482, 130100.883528, 264347.713101, 122424.251069, 5.5%
620, 163981.181606, 160094.983551, 259783.710449, 116295.141886, 3.5%
955, 159063.339092, 146297.981768, 259553.773702, 121786.587574, 2.2%
1472, 163424.316512, 159445.472639, 262827.401655, 125521.819073, 1.5%
2269, 164188.644713, 70866.304959, 199351.966966, 93660.424878, 0.9%
3497, 165093.762695, 41678.302991, 117158.367877, 65603.823982, 0.6%
5389, 56847.172507, 44011.834865, 123418.307414, 65800.934478, 0.1%
8306, 56906.392856, 44132.512528, 123495.661374, 64592.031873, 0.1%
12802, 56828.524037, 43306.499481, 118383.961058, 55853.633664, 0.1%
19731, 55645.918595, 40511.321888, 97350.549504, 44068.402116, 0.0%
30410, 49367.826751, 34271.239091, 68799.047243, 32386.803808, 0.0%
46868, 39742.166640, 28496.469475, 71663.314817, 33774.941202, 0.0%
72235, 36281.828100, 27148.313538, 69396.947225, 32517.739001, 0.0%
111330, 36922.301029, 28328.845266, 70904.723498, 33614.729360, 0.0%
171586, 36126.752217, 27031.635583, 68647.471391, 31848.582091, 0.0%
264454, 34739.025406, 27514.851271, 69948.594680, 33328.182548, 0.0%
407585, 36408.839431, 27420.448764, 69662.833417, 33658.412557, 0.0%
628182, 35853.663080, 28073.974784, 68683.687409, 33500.659541, 0.0%
968175, 36648.851782, 27500.397061, 69736.698526, 32864.500222, 0.0%
1492182, 30484.385062, 19840.397977, 50460.246541, 24005.190758, 0.0%
2299799, 21945.913287, 19195.101340, 26056.902669, 11265.078862, 0.0%
3544524, 11767.138566, 14631.208429, 18093.531765, 8547.138744, 0.0%
5462934, 8661.282733, 11441.556392, 15824.866227, 8421.606735, 0.0%
8419648, 11536.099496, 11675.484637, 21507.128609, 8592.288002, 0.0%
12976631, 5683.001088, 11472.090075, 10639.528150, 8527.011164, 0.0%
20000000, 5520.628760, 11388.825015, 10505.974725, 8410.389531, 0.0%
