Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30,4911.792683,12459.2733,10466.84576,3425.642868,2.10%
34,5249.792456,10194.37553,11058.46503,3482.413945,2.00%
39,5739.424405,11706.77218,10712.76362,3533.323078,1.90%
44,5687.619809,13222.17326,12077.56563,3588.328832,1.70%
50,5856.664461,14927.11908,12500.64402,3602.914925,1.50%
57,6279.376326,16988.63978,12247.64793,3668.578905,1.40%
65,6442.407416,11700.75296,12765.94398,3700.944597,1.30%
74,6419.236322,13306.19481,13890.56109,3730.650808,1.10%
84,6579.022371,15126.69002,14292.49369,3759.930905,1.00%
95,6875.920106,17072.27478,13979.37427,3780.134694,0.90%
108,6847.286025,19479.83567,14972.40949,3805.161161,0.80%
123,7064.460297,22114.29704,14691.55642,3826.136142,0.80%
140,7046.42304,20161.76741,15488.65483,3826.594008,0.70%
159,7254.770314,22857.31685,15343.3515,3851.591335,0.60%
181,7327.706557,26030.38581,15578.36067,3865.71293,0.50%
206,7322.58855,27216.85147,16192.46488,3879.687341,0.50%
234,7380.5971,28315.8347,16435.77847,3891.514542,0.40%
266,7430.771088,27511.55893,16595.37712,3896.857269,0.40%
303,7594.502865,31458.20592,16438.11388,3913.864856,0.30%
344,7570.564964,31340.96616,16826.86877,3922.083804,0.30%
392,7607.107794,31479.67547,16963.8265,3929.817692,0.30%
445,7664.197421,36193.44569,16935.95868,3933.134145,0.20%
506,7688.103804,37054.95115,17163.49227,3943.859546,0.20%
576,7712.179399,37368.06236,17264.39458,3939.392733,0.20%
655,7717.740585,36099.80464,17139.22142,3938.116768,0.20%
744,7752.290796,38137.74941,17040.66915,3942.869089,0.10%
846,7588.045974,37856.98589,16947.09295,3845.807299,0.10%
962,7426.919235,35834.97986,16646.11762,3762.778162,0.10%
1094,7441.885927,37971.54684,16687.96098,3765.46048,0.10%
1244,7453.335524,37847.91939,16730.21585,3767.028573,0.10%
1415,7483.371294,37995.31028,16702.04594,3768.216656,0.10%
1609,7476.81003,37541.65515,16733.19382,3769.596673,0.10%
1829,7496.795856,36459.07856,16766.23221,3770.475843,0.10%
2080,7497.125855,33536.48482,16587.58518,3769.404025,0.00%
2365,7510.57306,28960.35202,16615.19399,3770.492219,0.00%
2689,7518.638319,25850.3225,16515.23078,3771.483032,0.00%
3058,7520.207009,26669.25316,16592.79325,3772.076568,0.00%
3477,7529.451852,26516.52674,16622.92855,3772.884257,0.00%
3954,7525.273299,26924.84637,16627.31211,3773.131222,0.00%
4496,7530.744878,26848.71705,16580.88775,3774.584243,0.00%
5112,7534.041602,27405.49265,16612.3175,3775.681108,0.00%
5813,7542.572568,27388.11211,16566.61384,3776.285274,0.00%
6609,7543.279714,27452.66704,16607.45523,3776.854845,0.00%
7515,7546.510329,27537.89926,16578.00144,3777.729385,0.00%
8545,7549.426975,27640.93853,16643.24623,3778.118008,0.00%
9717,7550.432588,27845.2871,16591.61791,3778.686295,0.00%
11049,7549.584697,27827.57414,16613.25658,3778.032225,0.00%
12563,7548.450646,27835.18274,16503.09292,3777.540195,0.00%
14285,7549.782473,27960.4707,16602.54387,3777.151999,0.00%
16243,7547.396316,27952.25386,16600.07056,3776.590604,0.00%
18469,7548.815569,27904.35459,16573.94053,3777.481338,0.00%
21001,7552.685012,27858.1762,16574.5895,3777.379196,0.00%
23880,7705.426682,28576.00194,16985.77093,3868.503467,0.00%
27153,7937.914202,29233.74349,17297.84828,3975.02201,0.00%
30875,7955.381202,29434.29091,17368.5607,3964.981198,0.00%
35106,7939.330332,22027.90553,17396.60234,3959.950385,0.00%
39918,7943.283286,22127.10304,17370.96706,3960.37801,0.00%
45390,7923.570492,22220.36432,17289.49334,3957.716319,0.00%
51612,7912.950644,22036.08646,16822.58977,3928.623539,0.00%
58686,7908.900324,22043.71957,15317.94009,3859.931787,0.00%
66730,7883.281161,22037.68529,13752.69593,3767.76781,0.00%
75876,7836.772949,21923.97006,12976.33417,3695.885769,0.00%
86277,7742.722346,22050.30205,12640.79137,3689.055194,0.00%
98103,7705.205553,22046.59192,12469.81262,3680.676581,0.00%
111549,7387.24287,21775.97967,12438.35861,3694.525664,0.00%
126839,7061.61442,20933.27633,12275.58802,3680.572852,0.00%
144225,7032.607235,15833.78886,12045.08009,3663.802859,0.00%
163994,6884.954486,14377.18535,12082.60572,3661.18995,0.00%
186472,6779.073695,13840.67382,12142.90958,3638.637099,0.00%
212031,6795.543628,13617.06879,12217.67134,3665.279781,0.00%
241094,6881.511068,13422.12004,12279.2023,3669.354622,0.00%
274141,6936.386319,13309.2609,12230.27402,3644.589204,0.00%
311717,6998.11395,13295.49503,12382.02805,3674.332178,0.00%
354443,7042.56382,13255.88333,12422.30412,3679.197078,0.00%
403027,7077.706286,13277.93319,12392.58779,3678.594418,0.00%
458269,7073.60696,13266.82562,12359.65681,3670.890865,0.00%
521083,7111.361921,13322.5706,12207.83384,3669.760647,0.00%
592507,7120.365117,13324.25023,12141.61843,3671.603834,0.00%
673721,7135.196954,13342.7514,12183.20718,3673.185814,0.00%
766067,7133.477558,13377.51705,12116.4978,3676.441084,0.00%
871071,7134.275388,13403.00027,12102.07757,3677.302825,0.00%
990467,7138.857144,13369.02411,12128.63587,3676.296856,0.00%
1126229,7136.403756,13397.56729,12240.3611,3679.036516,0.00%
1280600,7109.719557,13382.17924,12260.80381,3674.736092,0.00%
1456130,7128.626484,13371.7247,12299.82168,3673.116336,0.00%
1655720,7144.635104,13402.86775,12411.88189,3674.384395,0.00%
1882667,7106.23616,13355.86769,12339.99467,3663.977302,0.00%
2140721,7112.488201,13408.76393,12355.68039,3661.566195,0.00%
2434147,7118.761675,13386.02246,12453.98747,3658.307295,0.00%
2767792,7126.337086,13393.13667,12429.81286,3668.190602,0.00%
3147169,7111.443919,13333.22356,12367.67429,3676.641013,0.00%
