Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 1.418980e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 4922.526824, 11616.009271, 10413.842016, 3417.114545, 2.2%
34, 5240.703491, 10164.570689, 11076.202209, 3481.181605, 2.0%
38, 5431.421339, 11540.243304, 11467.917691, 3525.188016, 1.9%
43, 5875.535109, 12831.603477, 11112.729712, 3574.691538, 1.8%
49, 6074.582381, 14660.397177, 11617.101681, 3612.918739, 1.6%
55, 6214.569021, 16417.085684, 12074.614067, 3644.162101, 1.5%
62, 6122.237877, 18797.662042, 13198.559493, 3663.781457, 1.3%
70, 6267.715562, 14864.381658, 13637.629279, 3698.895807, 1.2%
79, 6623.132234, 14156.539187, 13317.030368, 3720.602831, 1.1%
90, 6632.681511, 16142.462717, 14449.932259, 3753.813758, 1.0%
101, 6889.066863, 18172.202815, 14038.698272, 3771.635842, 0.9%
114, 6871.693786, 20498.338302, 14999.864804, 3806.180920, 0.8%
129, 7080.497934, 18548.588833, 14815.724750, 3823.748354, 0.7%
145, 7173.567313, 20839.461114, 15088.853290, 3839.593569, 0.6%
164, 7195.194822, 23642.883313, 15702.878871, 3855.316916, 0.6%
185, 7339.653465, 26631.427682, 15654.381224, 3874.472045, 0.5%
209, 7393.382833, 25170.514359, 15852.412985, 3887.083389, 0.5%
236, 7345.321986, 28419.365892, 16301.417227, 3873.712426, 0.4%
267, 7437.446999, 27331.380960, 16159.085451, 3873.828446, 0.4%
302, 7503.095582, 33003.891073, 16703.849944, 3921.816647, 0.3%
340, 7563.745721, 31181.382529, 16848.403931, 3919.160366, 0.3%
384, 7618.139016, 34936.281832, 16949.471096, 3915.687718, 0.3%
434, 7665.101411, 35242.818706, 17108.156836, 3921.341208, 0.2%
490, 7694.395457, 36125.271758, 17162.692377, 3932.455902, 0.2%
553, 7737.044377, 34645.200358, 17070.346931, 3935.529582, 0.2%
625, 7765.175647, 37438.565731, 17173.890951, 3951.454576, 0.2%
706, 7755.151244, 36581.792701, 17352.376744, 3952.665657, 0.1%
797, 7804.908348, 38338.813921, 17294.509025, 3951.766486, 0.1%
900, 7821.596638, 38414.439579, 17411.526599, 3954.324159, 0.1%
1016, 7813.719083, 39866.293767, 17533.279351, 3950.365384, 0.1%
1147, 7807.334384, 39572.572012, 17416.546792, 3954.662409, 0.1%
1295, 7868.298793, 39541.552000, 17531.925272, 3955.476432, 0.1%
1462, 7788.237571, 42348.302193, 17553.630922, 3949.799203, 0.1%
1651, 7903.559428, 39338.770109, 17362.788810, 3948.046447, 0.1%
1864, 7830.784131, 37394.261788, 17468.299583, 3952.979592, 0.1%
2105, 7840.013435, 36180.563593, 17375.550040, 3934.711453, 0.0%
2377, 7879.990777, 29296.382959, 17428.419310, 3946.650730, 0.0%
2684, 7879.129654, 27588.238719, 17330.077886, 3941.885154, 0.0%
3030, 7845.003859, 27797.037502, 17465.458768, 3935.315468, 0.0%
3421, 7839.341171, 27746.055057, 17427.429894, 3943.707763, 0.0%
3863, 7897.493041, 28031.990293, 17314.491182, 3935.461520, 0.0%
4362, 7853.502550, 27882.129825, 17343.704671, 3939.064804, 0.0%
4926, 7859.607921, 28474.645907, 17310.765468, 3950.078610, 0.0%
5562, 7884.526579, 28458.382209, 17419.544423, 3947.987467, 0.0%
6280, 7843.829549, 28486.202269, 17317.347892, 3937.785997, 0.0%
7091, 7825.619415, 28970.340551, 17387.331079, 3946.135355, 0.0%
8006, 7850.766987, 28783.987367, 17373.190116, 3952.314199, 0.0%
9040, 7761.952802, 28672.486267, 17358.684182, 3945.508963, 0.0%
10208, 7850.406639, 29154.951721, 17445.272072, 3950.366949, 0.0%
11526, 7872.474252, 29219.895644, 17418.541990, 3958.925973, 0.0%
13014, 7872.531430, 29140.428695, 17299.034443, 3957.868418, 0.0%
14695, 7876.283440, 29196.100544, 17496.161640, 3951.993067, 0.0%
16592, 7935.125878, 29091.726827, 17459.951760, 3948.549149, 0.0%
18735, 7873.670094, 29177.761652, 17333.324764, 3936.204846, 0.0%
